运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD9991089,上海天河区,广州余杭区,刘芳,EMP_076,吴芳贸易公司,申通快递,建材,合同物流,4098kg,0.09m³,771元,4586元,2025-08-10 05:32,2025-05-01 12:47,2025-08-10 05:32,2026-10-04 10:35,已签收,赵强,608km,浦东网点,南山网点,运费异常,高,上海区
WLYD2658837,南京天河区,上海天河区,陈敏,EMP_018,吴丽贸易公司,中通快递,化工品,合同物流,3029kg,1.74m³,1312元,2967元,2026-03-16 11:33,2025-02-26 17:52,2026-03-16 11:33,2026-02-13 21:44,已退回,刘娜,606km,浦东网点,余杭网点,虚假签收,低,
WLYD6018892,上海浦东新区,北京天河区,杨伟,EMP_050,刘强贸易公司,申通快递,食品,合同物流,4435kg,6.94m³,669元,2801元,2026-07-06 22:00,2026-02-28 15:26,2026-07-06 22:00,2025-09-02 03:24,派送中,吴强,817km,余杭网点,余杭网点,超时派送,高,上海区
WLYD2352562,南京南山区,上海南山区,赵磊,EMP_004,赵丽贸易公司,顺丰物流,服装,合同物流,3425kg,5.14m³,4412元,867元,2025-12-03 09:02,2025-09-18 21:53,2025-12-03 09:02,2025-06-17 03:52,已退回,李强,798km,余杭网点,朝阳网点,虚假签收,高,
WLYD5424194,杭州天河区,南京余杭区,周娜,EMP_046,赵芳贸易公司,中通快递,建材,整车,405kg,1.24m³,854元,4298元,2025-06-21 00:39,2025-12-16 22:22,2025-06-21 00:39,2026-12-11 18:34,派送中,陈静,381km,南山网点,鼓楼网点,虚假签收,低,浙北区
WLYD5460780,广州天河区,深圳余杭区,杨芳,EMP_086,李娜贸易公司,申通快递,电子产品,合同物流,2006kg,6.12m³,3289元,486元,2026-04-27 18:51,2026-06-11 22:32,2026-04-27 18:51,2025-10-01 18:52,派送中,黄伟,1459km,浦东网点,天河网点,路线异常,中,
WLYD5773029,北京鼓楼区,上海朝阳区,吴芳,EMP_035,李芳贸易公司,圆通速递,化工品,零担,4819kg,1.60m³,4541元,3616元,2025-09-22 14:47,2025-07-05 10:17,2025-09-22 14:47,2025-04-23 11:37,已签收,张强,631km,天河网点,南山网点,运费异常,高,北京区
WLYD4824480,杭州余杭区,南京朝阳区,李洋,EMP_088,李静贸易公司,圆通速递,电子产品,整车,117kg,3.34m³,2207元,510元,2025-03-18 21:06,2026-02-10 13:27,2025-03-18 21:06,2025-11-24 21:02,派送中,吴娜,370km,天河网点,南山网点,路线异常,低,浙北区
WLYD9522938,北京鼓楼区,深圳朝阳区,李芳,EMP_029,杨秀英贸易公司,圆通速递,服装,整车,4249kg,5.62m³,1014元,911元,2025-06-08 06:45,2026-12-12 17:39,2025-06-08 06:45,2025-04-14 03:01,已退回,杨洋,1653km,朝阳网点,鼓楼网点,包装破损,高,北京区
WLYD5691191,深圳余杭区,上海鼓楼区,刘敏,EMP_005,黄敏贸易公司,中通快递,服装,零担,2270kg,9.07m³,3282元,3405元,2025-02-07 22:01,2026-06-11 04:19,2025-02-07 22:01,2026-02-14 18:04,已签收,李娜,1452km,南山网点,鼓楼网点,未及时签收,中,
WLYD2424959,杭州天河区,广州南山区,李强,EMP_087,黄芳贸易公司,韵达快运,食品,零担,4808kg,2.17m³,4225元,436元,2026-09-14 18:14,2025-06-11 23:34,2026-09-14 18:14,2026-06-24 23:01,已签收,陈强,1165km,天河网点,浦东网点,未及时签收,低,浙北区
WLYD9222527,南京南山区,北京鼓楼区,杨静,EMP_075,黄敏贸易公司,中通快递,服装,整车,3035kg,8.05m³,2650元,3255元,2026-04-16 22:36,2025-12-17 20:06,2026-04-16 22:36,2025-09-05 09:28,已签收,赵强,276km,浦东网点,朝阳网点,路线异常,低,
WLYD5929428,上海余杭区,杭州浦东新区,黄芳,EMP_092,吴洋贸易公司,顺丰物流,服装,零担,4300kg,3.45m³,239元,1294元,2025-05-25 17:56,2025-03-21 09:18,2025-05-25 17:56,2026-05-26 11:00,派送中,吴芳,1102km,余杭网点,南山网点,虚假签收,中,上海区
