运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD3460430,广州朝阳区,上海余杭区,刘芳,EMP_054,黄强运输公司,极兔速递,化工原料,跨境电商,2903kg,8.48m³,4503元,3538元,2025-01-19 15:12,2025-01-19 15:12,2025-01-19 15:12,2025-01-19 15:12,运输中,黄秀英,2652km,西湖网点,鼓楼网点,重复下单,中,上海区
WLYD4675186,上海鼓楼区,重庆朝阳区,王娜,EMP_038,陈华物流公司,极兔速递,服装鞋帽,零担,4943kg,17.78m³,8457元,6420元,2025-01-02 11:22,2025-01-02 11:22,2025-01-02 11:22,2025-01-02 11:22,运输中,张秀英,593km,浦东网点,余杭网点,地址错误,高,上海区
WLYD5491598,上海余杭区,西安余杭区,陈静,EMP_039,李刚物流公司,顺丰速运,服装鞋帽,合同物流,4745kg,13.70m³,2979元,5264元,2025-01-18 16:49,2025-01-18 16:49,2025-01-18 16:49,2025-01-18 16:49,异常,刘秀英,2576km,南山网点,余杭网点,重复下单,低,上海区
WLYD6148828,南京浦东新区,重庆天河区,周芳,EMP_050,赵磊物流公司,圆通速递,图书文具,整车,2111kg,10.28m³,2508元,7469元,2025-01-04 17:45,2025-01-04 17:45,2025-01-04 17:45,2025-01-04 17:45,运输中,黄秀英,1085km,武林网点,武林网点,虚假签收,中,上海区
WLYD7174323,北京浦东新区,武汉天河区,杨磊,EMP_044,李刚物流公司,韵达速运,家具家电,快递,79kg,6.32m³,767元,736元,2025-01-15 17:21,2025-01-15 17:21,2025-01-15 17:21,2025-01-15 17:21,已签收,李秀英,1498km,朝阳网点,余杭网点,重量异常,低,北京区
WLYD4687036,南京朝阳区,成都朝阳区,陈静,EMP_051,王静贸易公司,顺丰速运,五金工具,快递,1884kg,19.12m³,8917元,2504元,2025-01-24 20:16,2025-01-24 20:16,2025-01-24 20:16,2025-01-24 20:16,异常,黄秀英,1273km,鼓楼网点,西湖网点,货物损坏,高,上海区
WLYD1048329,杭州南山区,广州南山区,刘芳,EMP_050,黄强运输公司,韵达速运,五金工具,冷链物流,1704kg,12.24m³,5670元,7257元,2025-01-10 11:18,2025-01-10 11:18,2025-01-10 11:18,2025-01-10 11:18,派送中,王秀英,2451km,南山网点,天河网点,重复下单,高,浙北区
WLYD9409024,北京浦东新区,杭州余杭区,黄秀英,EMP_030,周涛货运公司,德邦物流,图书文具,整车,3112kg,15.48m³,3108元,6420元,2025-01-26 19:47,2025-01-26 19:47,2025-01-26 19:47,2025-01-26 19:47,异常,杨秀英,2842km,天河网点,南山网点,地址错误,低,北京区
WLYD8822865,北京南山区,西安鼓楼区,赵伟,EMP_043,黄强运输公司,德邦物流,服装鞋帽,跨境电商,2366kg,7.3m³,4843元,3434元,2025-01-02 14:30,2025-01-02 14:30,2025-01-02 14:30,2025-01-02 14:30,派送中,陈秀英,1928km,天河网点,鼓楼网点,重复下单,高,北京区
WLYD5863444,深圳朝阳区,广州朝阳区,李强,EMP_037,赵磊物流公司,顺丰速运,服装鞋帽,快递,932kg,11.74m³,8179元,1433元,2025-01-12 09:02,2025-01-12 09:02,2025-01-12 09:02,2025-01-12 09:02,已签收,李秀英,1696km,朝阳网点,南山网点,超时派送,低,上海区
WLYD9465913,杭州鼓楼区,成都鼓楼区,吴磊,EMP_047,周涛货运公司,中通快递,服装鞋帽,整车,1257kg,6.53m³,5335元,5665元,2025-01-28 10:21,2025-01-28 10:21,2025-01-28 10:21,2025-01-28 10:21,派送中,张秀英,1331km,朝阳网点,武林网点,重复下单,低,浙北区
WLYD4528637,杭州余杭区,西安天河区,周芳,EMP_034,张伟货运公司,德邦物流,服装鞋帽,冷链物流,2312kg,3.35m³,9214元,669元,2025-01-02 15:42,2025-01-02 15:42,2025-01-02 15:42,2025-01-02 15:42,异常,李秀英,1185km,鼓楼网点,天河网点,重复下单,高,浙北区
WLYD4494951,北京南山区,成都朝阳区,陈静,EMP_039,黄强运输公司,申通快递,五金工具,冷链物流,1241kg,14.38m³,7703元,3414元,2025-01-16 09:23,2025-01-16 09:23,2025-01-16 09:23,2025-01-16 09:23,已签收,杨秀英,2361km,武林网点,南山网点,超时派送,高,北京区
WLYD9519241,上海浦东新区,武汉余杭区,李强,EMP_052,张伟货运公司,中通快递,家具家电,零担,2217kg,2.4m³,7899元,6071元,2025-01-02 12:45,2025-01-02 12:45,2025-01-02 12:45,2025-01-02 12:45,运输中,杨秀英,2712km,南山网点,余杭网点,金额异常,高,上海区
WLYD1773828,北京天河区,西安南山区,赵伟,EMP_058,杨明货运公司,中通快递,化工原料,快递,4404kg,12.3m³,8979元,861元,2025-01-17 18:24,2025-01-17 18:24,2025-01-17 18:24,2025-01-17 18:24,异常,李秀英,1574km,鼓楼网点,南山网点,货物损坏,中,北京区
WLYD1708680,北京余杭区,深圳南山区,赵伟,EMP_043,李刚物流公司,中通快递,家具家电,冷链物流,3787kg,5.23m³,431元,3740元,2025-01-04 11:09,2025-01-04 11:09,2025-01-04 11:09,2025-01-04 11:09,已签收,赵秀英,140km,浦东网点,武林网点,货物损坏,中,北京区
WLYD7169238,深圳朝阳区,成都朝阳区,吴磊,EMP_047,杨明货运公司,顺丰速运,食品生鲜,冷链物流,2880kg,4.38m³,4131元,2220元,2025-01-15 09:17,2025-01-15 09:17,2025-01-15 09:17,2025-01-15 09:17,已退回,张秀英,1277km,西湖网点,浦东网点,超时派送,低,上海区
WLYD5244772,南京天河区,西安南山区,赵伟,EMP_040,周涛货运公司,极兔速递,服装鞋帽,零担,3593kg,4.94m³,4298元,5349元,2025-01-09 14:50,2025-01-09 14:50,2025-01-09 14:50,2025-01-09 14:50,运输中,杨秀英,148km,余杭网点,天河网点,地址错误,中,上海区
