运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD8270136,北京天河区,广州浦东新区,李磊,EMP_066,赵磊贸易公司,圆通速递,食品,合同物流,3092kg,9.61m³,3642元,922元,2026-02-27 06:17,2026-03-17 16:28,2026-02-27 06:17,2025-09-20 04:06,已退回,刘敏,1616km,朝阳网点,天河网点,未及时签收,高,北京区
WLYD5476354,南京南山区,南京朝阳区,李洋,EMP_030,陈静贸易公司,顺丰物流,电子产品,合同物流,736kg,2.80m³,4400元,1409元,2025-04-22 09:12,2026-10-19 14:16,2025-04-22 09:12,2025-05-25 12:55,已退回,黄伟,704km,南山网点,朝阳网点,重量异常,高,
WLYD8692954,杭州鼓楼区,杭州浦东新区,张静,EMP_060,黄秀英贸易公司,圆通速递,电子产品,整车,4277kg,2.57m³,3307元,1829元,2026-01-05 12:18,2025-11-10 01:27,2026-01-05 12:18,2026-10-08 20:57,已签收,张磊,1016km,天河网点,余杭网点,虚假签收,低,浙北区
WLYD2075923,广州余杭区,南京浦东新区,吴秀英,EMP_005,黄秀英贸易公司,圆通速递,食品,整车,3520kg,1.93m³,768元,3473元,2025-08-12 04:34,2025-11-25 05:15,2025-08-12 04:34,2026-07-17 05:16,已退回,赵丽,541km,天河网点,天河网点,货物损坏,中,
WLYD8736349,上海鼓楼区,南京浦东新区,刘娜,EMP_039,赵伟贸易公司,顺丰物流,电子产品,合同物流,202kg,6.28m³,1037元,2357元,2026-04-04 06:03,2025-06-23 22:06,2026-04-04 06:03,2025-06-11 20:20,派送中,陈静,991km,南山网点,天河网点,虚假签收,中,上海区
WLYD6069565,北京鼓楼区,北京鼓楼区,王芳,EMP_024,李芳贸易公司,中通快递,服装,整车,1388kg,8.34m³,4962元,2607元,2026-07-14 00:07,2025-02-02 06:44,2026-07-14 00:07,2026-11-07 15:38,已签收,黄秀英,1784km,浦东网点,余杭网点,超时派送,高,北京区
WLYD2323995,广州鼓楼区,杭州浦东新区,刘强,EMP_099,黄秀英贸易公司,圆通速递,服装,合同物流,3918kg,4.81m³,4451元,203元,2026-04-02 09:30,2025-08-25 14:15,2026-04-02 09:30,2026-06-18 00:44,已签收,杨敏,1403km,南山网点,余杭网点,重量异常,低,
WLYD1743469,南京鼓楼区,杭州鼓楼区,张强,EMP_085,周芳贸易公司,韵达快运,电子产品,整车,1035kg,4.52m³,3885元,4122元,2026-12-17 15:46,2025-12-28 11:01,2026-12-17 15:46,2026-04-18 23:53,已签收,吴伟,528km,南山网点,鼓楼网点,运费异常,低,
WLYD6506067,广州余杭区,南京余杭区,周秀英,EMP_083,杨丽贸易公司,韵达快运,化工品,合同物流,1770kg,5.71m³,298元,3349元,2025-06-07 19:28,2025-03-11 20:10,2025-06-07 19:28,2025-02-07 18:13,派送中,杨敏,1969km,鼓楼网点,鼓楼网点,重量异常,低,
WLYD2226094,广州浦东新区,深圳余杭区,刘丽,EMP_100,张敏贸易公司,申通快递,电子产品,零担,2812kg,6.04m³,923元,1532元,2026-05-14 00:18,2026-10-09 19:43,2026-05-14 00:18,2025-02-08 08:47,已退回,李洋,1396km,天河网点,朝阳网点,未及时签收,低,
WLYD8810241,北京浦东新区,南京天河区,赵丽,EMP_037,赵秀英贸易公司,中通快递,化工品,零担,4216kg,9.77m³,4149元,3287元,2025-10-01 04:16,2026-03-15 19:53,2025-10-01 04:16,2026-06-28 02:11,已签收,杨洋,1740km,浦东网点,浦东网点,重量异常,中,北京区
WLYD9607114,南京天河区,南京浦东新区,周秀英,EMP_043,吴秀英贸易公司,圆通速递,食品,零担,469kg,2.72m³,2422元,2622元,2026-03-19 01:21,2026-08-03 06:16,2026-03-19 01:21,2025-02-27 11:24,派送中,黄芳,1080km,浦东网点,浦东网点,运费异常,中,
WLYD2071490,深圳天河区,杭州南山区,黄伟,EMP_026,杨敏贸易公司,中通快递,建材,合同物流,899kg,1.27m³,962元,2417元,2026-04-10 04:08,2025-09-21 04:01,2026-04-10 04:08,2025-02-02 08:46,派送中,李磊,127km,浦东网点,鼓楼网点,重量异常,中,
WLYD3209291,上海朝阳区,深圳鼓楼区,张伟,EMP_067,李秀英贸易公司,顺丰物流,建材,整车,848kg,5.52m³,2460元,1452元,2025-05-14 06:21,2025-05-15 01:00,2025-05-14 06:21,2026-01-23 01:45,已退回,陈洋,54km,南山网点,余杭网点,运费异常,低,上海区
WLYD7555436,南京鼓楼区,广州浦东新区,王秀英,EMP_074,杨洋贸易公司,圆通速递,服装,整车,1111kg,2.24m³,634元,4084元,2026-01-01 12:17,2026-10-03 19:25,2026-01-01 12:17,2025-10-26 07:01,已签收,李强,1045km,南山网点,朝阳网点,虚假签收,中,
WLYD7166570,北京天河区,广州朝阳区,周静,EMP_016,刘秀英贸易公司,顺丰物流,食品,零担,1711kg,7.10m³,1249元,2052元,2025-08-03 05:47,2025-03-19 06:51,2025-08-03 05:47,2025-07-21 03:52,派送中,陈娜,482km,南山网点,余杭网点,重量异常,高,北京区
WLYD8695400,深圳余杭区,北京鼓楼区,李伟,EMP_019,杨强贸易公司,顺丰物流,建材,整车,2436kg,1.30m³,4067元,953元,2025-05-02 05:25,2026-01-06 10:04,2025-05-02 05:25,2026-08-24 12:29,已签收,刘磊,784km,南山网点,浦东网点,虚假签收,高,
WLYD8300084,广州天河区,南京朝阳区,王秀英,EMP_087,陈洋贸易公司,申通快递,化工品,合同物流,2768kg,9.32m³,1982元,1515元,2026-12-21 07:35,2026-04-21 07:04,2026-12-21 07:35,2026-02-15 21:13,已签收,黄静,1915km,南山网点,浦东网点,货物损坏,低,
