运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级
WLYD8048691,广州天河区,上海浦东新区,黄丽,EMP_045,张娜贸易公司,韵达快运,化工品,整车,3108kg,9.26m³,4411元,558元,2026-01-20 08:26,2026-07-12 02:52,2026-01-20 08:26,2025-08-17 03:52,派送中,王强,369km,余杭网点,鼓楼网点,包装破损,高
WLYD1804635,上海天河区,深圳鼓楼区,张静,EMP_025,刘娜贸易公司,中通快递,化工品,整车,3973kg,8.37m³,3890元,91元,2025-02-22 13:46,2025-08-04 22:40,2025-02-22 13:46,2026-04-03 20:49,派送中,张敏,673km,天河网点,鼓楼网点,虚假签收,低
WLYD7737055,北京天河区,南京朝阳区,吴磊,EMP_079,陈静贸易公司,韵达快运,建材,合同物流,865kg,3.51m³,3626元,462元,2025-01-25 17:39,2026-03-11 23:02,2025-01-25 17:39,2025-07-22 05:12,已签收,张敏,494km,天河网点,浦东网点,路线异常,高
WLYD3739233,南京天河区,北京天河区,黄敏,EMP_010,李芳贸易公司,圆通速递,服装,整车,1433kg,5.90m³,4023元,467元,2025-01-22 05:25,2026-04-23 21:27,2025-01-22 05:25,2026-11-10 22:58,已签收,赵磊,691km,朝阳网点,浦东网点,未及时签收,低
WLYD1629667,北京南山区,上海余杭区,杨秀英,EMP_067,刘伟贸易公司,韵达快运,服装,合同物流,4623kg,0.13m³,3602元,3522元,2025-01-19 22:02,2026-03-16 22:34,2025-01-19 22:02,2026-10-12 10:55,已退回,刘磊,229km,鼓楼网点,浦东网点,未及时签收,高
WLYD7716546,上海朝阳区,深圳南山区,杨洋,EMP_004,黄强贸易公司,中通快递,食品,整车,1436kg,4.70m³,2428元,1483元,2025-12-07 08:56,2025-03-16 23:38,2025-12-07 08:56,2026-07-19 06:57,派送中,王伟,152km,余杭网点,朝阳网点,路线异常,高
WLYD4110370,北京朝阳区,北京南山区,吴磊,EMP_078,周磊贸易公司,申通快递,化工品,零担,1309kg,2.39m³,239元,2769元,2026-02-06 15:57,2025-01-13 02:14,2026-02-06 15:57,2025-03-15 13:17,派送中,黄静,1129km,浦东网点,南山网点,超时派送,低
WLYD4751292,杭州鼓楼区,北京天河区,杨芳,EMP_079,陈秀英贸易公司,中通快递,服装,合同物流,1330kg,4.65m³,2568元,3459元,2026-02-13 22:14,2025-09-13 20:54,2026-02-13 22:14,2026-05-03 19:48,已退回,周芳,408km,余杭网点,浦东网点,超时派送,低
WLYD3550128,深圳朝阳区,南京鼓楼区,杨敏,EMP_024,陈秀英贸易公司,中通快递,服装,整车,1268kg,5.93m³,500元,550元,2025-02-17 23:09,2026-06-26 13:23,2025-02-17 23:09,2026-11-26 13:57,已签收,王磊,1370km,南山网点,朝阳网点,未及时签收,低
WLYD6706481,上海南山区,南京天河区,吴秀英,EMP_015,陈静贸易公司,韵达快运,建材,合同物流,1688kg,0.16m³,3435元,1401元,2026-02-15 18:23,2025-11-25 00:15,2026-02-15 18:23,2026-03-08 20:32,已退回,刘磊,223km,浦东网点,天河网点,包装破损,低
WLYD3887993,深圳鼓楼区,广州鼓楼区,王伟,EMP_097,黄丽贸易公司,申通快递,建材,合同物流,36kg,2.23m³,2098元,2398元,2026-05-21 14:30,2026-07-03 05:30,2026-05-21 14:30,2025-02-04 06:19,派送中,刘静,1521km,余杭网点,鼓楼网点,超时派送,低
WLYD1576550,深圳南山区,深圳南山区,李伟,EMP_077,刘强贸易公司,中通快递,化工品,整车,3280kg,6.63m³,4626元,2250元,2025-06-25 17:05,2026-05-07 23:33,2025-06-25 17:05,2025-01-06 20:39,已退回,周静,1584km,朝阳网点,浦东网点,包装破损,中
WLYD1608176,南京浦东新区,杭州浦东新区,刘磊,EMP_024,陈静贸易公司,申通快递,食品,合同物流,699kg,6.84m³,724元,1079元,2026-12-19 07:08,2026-09-06 08:08,2026-12-19 07:08,2026-02-26 06:36,派送中,周强,1404km,天河网点,朝阳网点,运费异常,中
WLYD6069069,广州浦东新区,深圳余杭区,黄洋,EMP_046,黄磊贸易公司,中通快递,服装,零担,734kg,5.23m³,2779元,2637元,2025-07-21 13:14,2026-09-07 10:24,2025-07-21 13:14,2025-09-20 07:00,派送中,张伟,1672km,南山网点,南山网点,货物损坏,中
WLYD1067092,上海余杭区,深圳朝阳区,黄敏,EMP_087,张静贸易公司,申通快递,化工品,合同物流,4662kg,2.58m³,4377元,2005元,2025-11-08 10:45,2025-01-13 13:12,2025-11-08 10:45,2025-02-17 06:00,派送中,赵芳,1433km,南山网点,朝阳网点,货物损坏,高
